,0
532,200.0
533,200.0
534,200.0
535,200.0
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,200.0
544,200.0
545,200.0
546,200.0
547,200.0
548,200.0
549,200.0
550,200.0
551,200.0
552,200.0
553,118.0
554,200.0
555,200.0
556,129.0
557,200.0
558,200.0
559,78.0
560,200.0
561,200.0
562,116.0
563,159.0
564,103.0
565,77.0
566,106.0
567,110.0
568,99.0
569,71.0
570,15.0
571,168.0
572,98.0
573,200.0
574,200.0
575,26.0
576,171.0
577,90.0
578,112.0
579,77.0
580,97.0
581,132.0
582,200.0
583,200.0
584,200.0
585,200.0
586,200.0
587,200.0
588,200.0
589,200.0
590,200.0
591,200.0
592,200.0
593,200.0
594,200.0
595,200.0
596,200.0
597,200.0
598,200.0
599,200.0
600,200.0
601,200.0
602,200.0
603,200.0
604,200.0
605,200.0
606,200.0
607,200.0
608,200.0
609,200.0
610,200.0
611,14.0
612,26.0
613,200.0
614,200.0
615,200.0
616,200.0
617,200.0
618,200.0
619,200.0
620,200.0
621,200.0
622,200.0
623,200.0
624,200.0
625,200.0
626,200.0
627,200.0
628,200.0
629,150.0
630,166.0
631,200.0
632,200.0
633,181.0
634,129.0
635,187.0
636,200.0
637,16.0
638,195.0
639,143.0
640,200.0
641,200.0
642,200.0
643,141.0
644,200.0
645,200.0
646,200.0
647,200.0
648,200.0
649,185.0
650,200.0
651,41.0
652,200.0
653,200.0
654,200.0
655,200.0
656,200.0
657,200.0
658,200.0
659,200.0
660,200.0
661,24.0
662,200.0
663,52.0
664,200.0
665,161.0
666,200.0
667,199.0
668,200.0
669,200.0
670,200.0
671,200.0
672,200.0
673,157.0
674,200.0
675,200.0
676,200.0
677,15.0
678,200.0
679,11.0
680,200.0
681,200.0
682,200.0
683,154.0
684,200.0
685,200.0
686,19.0
687,200.0
688,200.0
689,197.0
690,200.0
691,200.0
692,200.0
693,200.0
694,200.0
695,138.0
696,22.0
697,200.0
698,200.0
699,200.0
700,124.0
701,152.0
702,60.0
703,11.0
704,20.0
705,200.0
706,200.0
707,200.0
708,200.0
709,200.0
710,200.0
711,200.0
712,200.0
713,200.0
714,200.0
715,200.0
716,92.0
717,200.0
718,200.0
719,200.0
720,200.0
721,200.0
722,200.0
723,200.0
724,200.0
725,200.0
726,200.0
727,200.0
728,200.0
729,200.0
730,200.0
731,200.0
732,200.0
733,200.0
734,200.0
735,200.0
736,200.0
737,200.0
738,200.0
739,200.0
740,200.0
741,200.0
742,200.0
743,200.0
744,200.0
745,200.0
746,200.0
747,200.0
748,200.0
749,200.0
750,200.0
751,200.0
752,200.0
753,200.0
754,200.0
755,200.0
756,200.0
757,200.0
758,200.0
759,200.0
760,200.0
761,200.0
762,200.0
763,200.0
764,200.0
765,200.0
766,171.0
