,0
0,14.0
1,19.0
2,14.0
3,13.0
4,31.0
5,12.0
6,16.0
7,12.0
8,9.0
9,17.0
10,30.0
11,27.0
12,13.0
13,29.0
14,20.0
15,39.0
16,36.0
17,86.0
18,14.0
19,18.0
20,30.0
21,12.0
22,20.0
23,35.0
24,23.0
25,14.0
26,24.0
27,18.0
28,9.0
29,51.0
30,35.0
31,11.0
32,15.0
33,43.0
34,28.0
35,21.0
36,29.0
37,32.0
38,11.0
39,32.0
40,13.0
41,40.0
42,16.0
43,14.0
44,14.0
45,11.0
46,13.0
47,23.0
48,26.0
49,12.0
50,19.0
51,14.0
52,12.0
53,39.0
54,24.0
55,48.0
56,42.0
57,11.0
58,12.0
59,28.0
60,21.0
61,75.0
62,30.0
63,11.0
64,16.0
65,17.0
66,20.0
67,32.0
68,12.0
69,27.0
70,22.0
71,9.0
72,46.0
73,14.0
74,9.0
75,58.0
76,51.0
77,17.0
78,19.0
79,15.0
80,31.0
81,17.0
82,17.0
83,77.0
84,34.0
85,12.0
86,11.0
87,12.0
88,31.0
89,24.0
90,16.0
91,13.0
92,11.0
93,11.0
94,28.0
95,21.0
96,29.0
97,11.0
98,10.0
99,31.0
100,12.0
101,13.0
102,9.0
103,13.0
104,16.0
105,16.0
106,24.0
107,28.0
108,52.0
109,37.0
110,10.0
111,30.0
112,74.0
113,19.0
114,16.0
115,31.0
116,54.0
117,62.0
118,18.0
119,20.0
120,13.0
121,14.0
122,78.0
123,85.0
124,46.0
125,63.0
126,13.0
127,29.0
128,39.0
129,132.0
130,41.0
131,23.0
132,53.0
133,25.0
134,51.0
135,46.0
136,20.0
137,19.0
138,71.0
139,49.0
140,76.0
141,49.0
142,15.0
143,109.0
144,112.0
145,14.0
146,86.0
147,100.0
148,147.0
149,114.0
150,53.0
151,96.0
152,14.0
153,13.0
154,104.0
155,87.0
156,124.0
157,13.0
158,74.0
159,83.0
160,99.0
161,19.0
162,76.0
163,116.0
164,16.0
165,169.0
166,65.0
167,16.0
168,200.0
169,84.0
170,145.0
171,92.0
172,104.0
173,34.0
174,43.0
175,13.0
176,57.0
177,37.0
178,27.0
179,18.0
180,14.0
181,10.0
182,26.0
183,16.0
184,15.0
185,39.0
186,11.0
